codigo_punto_medicion,CodigoCauce,descripcion_punto_medicion,sensor_relevado,sensor_tipo,sensor_unidad_medida,nombre_de_zona,fecha_desde,fecha_fin,valor_promedio_relevado,latitud,longitud,desde
20017,NA,California entre 6 y 7                                                                              ,Sensor-Caudal-MODBUS1                                                                               ,Caudal                                                                                              ,l/s                           ,SUBDELEGACION DEL RIO MENDOZA                                                                                                                         ,2008-10-18,2015-10-18,74.62,-32.74769,-68.33017,08.10.18
20017,NA,California entre 6 y 7                                                                              ,Sensor-Caudal-MODBUS1                                                                               ,Caudal                                                                                              ,l/s                           ,SUBDELEGACION DEL RIO MENDOZA                                                                                                                         ,2015-10-18,2022-10-18,66.34,-32.74769,-68.33017,15.10.18
20017,NA,California entre 6 y 7                                                                              ,Sensor-Caudal-MODBUS1                                                                               ,Caudal                                                                                              ,l/s                           ,SUBDELEGACION DEL RIO MENDOZA                                                                                                                         ,2022-10-18,2029-10-18,71.66,-32.74769,-68.33017,22.10.18
20017,NA,California entre 6 y 7                                                                              ,Sensor-Caudal-MODBUS1                                                                               ,Caudal                                                                                              ,l/s                           ,SUBDELEGACION DEL RIO MENDOZA                                                                                                                         ,2001-09-18,2008-09-18,113.95,-32.74769,-68.33017,01.09.18
20017,NA,California entre 6 y 7                                                                              ,Sensor-Caudal-MODBUS1                                                                               ,Caudal                                                                                              ,l/s                           ,SUBDELEGACION DEL RIO MENDOZA                                                                                                                         ,2008-09-18,2015-09-18,64.1,-32.74769,-68.33017,08.09.18
20017,NA,California entre 6 y 7                                                                              ,Sensor-Caudal-MODBUS1                                                                               ,Caudal                                                                                              ,l/s                           ,SUBDELEGACION DEL RIO MENDOZA                                                                                                                         ,2015-09-18,2022-09-18,65,-32.74769,-68.33017,15.09.18
20017,NA,California entre 6 y 7                                                                              ,Sensor-Caudal-MODBUS1                                                                               ,Caudal                                                                                              ,l/s                           ,SUBDELEGACION DEL RIO MENDOZA                                                                                                                         ,2022-09-18,2029-09-18,79.5,-32.74769,-68.33017,22.09.18
20016,NA,California Pasante-4-5-6-7                                                                          ,Sensor-Caudal-MODBUS1                                                                               ,Caudal                                                                                              ,l/s                           ,SUBDELEGACION DEL RIO MENDOZA                                                                                                                         ,2008-10-18,2015-10-18,628.13,-32.76408,-68.35248,08.10.18
20016,NA,California Pasante-4-5-6-7                                                                          ,Sensor-Caudal-MODBUS1                                                                               ,Caudal                                                                                              ,l/s                           ,SUBDELEGACION DEL RIO MENDOZA                                                                                                                         ,2015-10-18,2022-10-18,541.06,-32.76408,-68.35248,15.10.18
20016,NA,California Pasante-4-5-6-7                                                                          ,Sensor-Caudal-MODBUS1                                                                               ,Caudal                                                                                              ,l/s                           ,SUBDELEGACION DEL RIO MENDOZA                                                                                                                         ,2022-10-18,2029-10-18,561.08,-32.76408,-68.35248,22.10.18
20016,NA,California Pasante-4-5-6-7                                                                          ,Sensor-Caudal-MODBUS1                                                                               ,Caudal                                                                                              ,l/s                           ,SUBDELEGACION DEL RIO MENDOZA                                                                                                                         ,2001-09-18,2008-09-18,793.16,-32.76408,-68.35248,01.09.18
20016,NA,California Pasante-4-5-6-7                                                                          ,Sensor-Caudal-MODBUS1                                                                               ,Caudal                                                                                              ,l/s                           ,SUBDELEGACION DEL RIO MENDOZA                                                                                                                         ,2008-09-18,2015-09-18,497.65,-32.76408,-68.35248,08.09.18
20016,NA,California Pasante-4-5-6-7                                                                          ,Sensor-Caudal-MODBUS1                                                                               ,Caudal                                                                                              ,l/s                           ,SUBDELEGACION DEL RIO MENDOZA                                                                                                                         ,2015-09-18,2022-09-18,532.04,-32.76408,-68.35248,15.09.18
20016,NA,California Pasante-4-5-6-7                                                                          ,Sensor-Caudal-MODBUS1                                                                               ,Caudal                                                                                              ,l/s                           ,SUBDELEGACION DEL RIO MENDOZA                                                                                                                         ,2022-09-18,2029-09-18,611.94,-32.76408,-68.35248,22.09.18
20013,NA,California 6                                                                                        ,Sensor-Caudal-MODBUS1                                                                               ,Caudal                                                                                              ,l/s                           ,SUBDELEGACION DEL RIO MENDOZA                                                                                                                         ,2008-10-18,2015-10-18,139.46,-32.73904,-68.32688,08.10.18
20013,NA,California 6                                                                                        ,Sensor-Caudal-MODBUS1                                                                               ,Caudal                                                                                              ,l/s                           ,SUBDELEGACION DEL RIO MENDOZA                                                                                                                         ,2015-10-18,2022-10-18,0,-32.73904,-68.32688,15.10.18
20013,NA,California 6                                                                                        ,Sensor-Caudal-MODBUS1                                                                               ,Caudal                                                                                              ,l/s                           ,SUBDELEGACION DEL RIO MENDOZA                                                                                                                         ,2022-10-18,2029-10-18,158.62,-32.73904,-68.32688,22.10.18
20013,NA,California 6                                                                                        ,Sensor-Caudal-MODBUS1                                                                               ,Caudal                                                                                              ,l/s                           ,SUBDELEGACION DEL RIO MENDOZA                                                                                                                         ,2001-09-18,2008-09-18,161.91,-32.73904,-68.32688,01.09.18
20013,NA,California 6                                                                                        ,Sensor-Caudal-MODBUS1                                                                               ,Caudal                                                                                              ,l/s                           ,SUBDELEGACION DEL RIO MENDOZA                                                                                                                         ,2008-09-18,2015-09-18,24.22,-32.73904,-68.32688,08.09.18
