CodigoCauce,Qwebav,Qwebyear
1008,0.336,7.056
1010,0.43,24.102
1012,1.501,19.51
1106,2.581,67.119
1114,0.352,9.847
1116,0.266,5.312
1142,1.761,52.816
1191,0.252,6.042
1271,1.378,12.401
1278,0.372,10.41
1299,0.132,3.168
1714,0.177,4.969
1730,0.405,9.323
2137,0.843,18.55
2178,0.122,2.319
2183,9.642,231.416
2194,4.271,89.684
2237,0.37,6.294
2271,2.486,37.289
2284,2.253,42.804
2296,0.828,20.702
2303,0.718,10.764
2312,0.317,7.915
2356,0.16,3.196
2357,0.47,12.207
2400,0.238,0.951
2401,0.255,1.018
2433,0.038,0.686
2434,0.219,2.19
2435,0.131,2.353
2437,0.057,1.203
2438,0.346,7.62
2439,0.108,2.156
2533,2.386,26.25
2564,0.968,5.807
2565,0.745,7.455
2615,0.183,2.562
2623,0.964,37.586
5001,0.688,3.439
5002,0.062,1.614
5003,0.156,3.28
5004,0.337,7.416
5006,0.743,41.625
5007,0.209,5.019
5008,0.888,24.855
5010,2.179,63.201
5012,0.223,10.038
5014,0.895,7.156
5015,19.85,555.796
5016,0.258,12.103
5022,0.209,5.432
5700,0.125,2.997
5708,0.192,5.19
5738,0.009,0.244
5773,0.143,3.995
5774,0.07,1.268
8234,2.125,40.384
9700,0.121,2.913
9705,0.021,0.064
9707,0.965,38.6
9708,0.257,7.187
9710,0.059,1.292
9713,0.267,7.463
9715,0.503,10.562
9727,0.001,0.018
9730,0.318,7.631
9731,0.047,0.978
9742,0.15,1.95
9766,0.089,3.114
9774,0.014,0.245
9776,0.042,1.001
9777,0.453,2.718
