Codigo;Obra;Detalle;Expediente;Subdelegacion;Zona;Financiamiento;Cauce;CodigoCauce;CodigoCauceAlt;inversion;Tipologia;Metros;Status;Observaciones;Ano;MetrosAvance
170102;54;C.M. Real del Padre - rama 1 - revestimiento de un tramo - ampliación y elementos mejora manejo del riego;753781;Atuel;;Inspección;Cnl. Real del Padre;;;252455.2;Revestimiento;70;Finalizada;-;2017;70
170103;55;Canal Ole Aaset - hijuela 6 -revestimiento y modificación sistema de riego;748365;Atuel;;Inspección;Cnl. Olé Aset;;;1262300;H° A° Sección Trapecial;1170;Finalizada;Ampliación de Obra: se aumento monto convenio original en $200.000., monto que ya fue pagado. Evaluando Nota con plazos de Reintegro.;2017;1180
170104;56;Canal Rama 3 - Canal Ing. Lange - revestimiento de un tramo 2da etapa;755814;Atuel;;Inspección;Cnl. M.N.Alvear;;;2593638;H° A° Sección Trapecial;1632;Finalizada;Ampliación de Obra: se aumento monto convenio original en $443.352. Este adicional no se ha pagado. Falta aval de la Subdelegación por este monto, ya que según la Inspección lo necesario es de aprox. $ 100.000 menos.;2017;1670
170105;57;C. M. Perrone - Reparación de un tramo de revestimiento zona escuela el escorial – 2da etapa;753480;Atuel;;Inspección;Cnl. Perrone;;;991979.97;H° A° Sección Rectangular;;Apta para Ejecución;Obra: El Expediente se encuentra en la Subdelegación desde el 23/10. La Obra está pagada. Se va a comprar materiales antes de fin de año, para reparar se tiene que cortar el agua y esperar que haya seccionamiento.;2017;
170106;58;Rama Moss-Los Ángeles-recrecimiento de un tramo;758397;Atuel;;Inspección;Cnl. Rama Moss - Los Angeles;;;253000;Recrecimiento H°A°;300;En Ejecución;-;2017;250
170107;59;Canal Matriz San Pedro- reparación partidor automatico volpara-viney;758398;Atuel;;Inspección;Cnl San Pedro;;;82000;Reparaciones;10;Finalizada;Se dejó colocadas las recatas para dos compuertas. No se colocan las compuertas hasta que lo determine la Inspección.;2017;10
170108;60;C. M. Perrone - construcción 18 Secciones de Aforo;755339;Atuel;;Subdelegación;Cnl. Perrone;;;653273.03;-;;En Ejecución;Se han ejecutado 4 aforadores con casilla de maytor sección.;2017;
170201;61;Obra: Obras de medicion y de Distribucion Parcelaria La Junta;755296;Malargüe;;Jefatura de Zona;La Junta Cohihueco y El Sosneado;;;461700;-;-;Finalizada; La Inspección realizará 2 tomas más, respecto de lo ejecutad:2 Aforadores y 19 Tomas ;2017;
170202;62;Rama Centro Unificado, Cambio de Traza y Unificacion;756426;Malargüe;;Inspección;Cnl. Cañada Colorada;;;2099130;H° A° Sección Rectangular;1530;En Ejecución; La excavación se encuentra finalizada y el revestumiento tiene una long. de 150m de avance. Se ha comprado todos los materiales.;2017;150
170203;63;Revestimiento Rama Molino y Cambio de Traza - 1er Tramo;756447;Malargüe;;Inspección;Cnl. Cañada Colorada;;;1576300;H° A° Sección Rectangular;1000;Apta para Ejecución;Falta iniciar excavación (forestales inicio de obra falta aprobación Recursos Naturales.), la MO y los Materiales están contratados.;2017;
170301;35;Canal Pavez - Revestimiento Tramo Calle Tirasso;756382;Diamante;;Inspección;Primera Diamante;;;1696800;H° A° Sección Rectangular;500;Finalizada;-;2017;673
170302;36;Canal Cuadro Nacional - Revestimiento de un Tramo - 3° Etapa;756164;Diamante;;Inspección;Primera Diamante;;;597084;H° A° Sección Tolva;500;Finalizada;-;2017;500
170303;37;Canal Vila - Hijuela N°7 - Revestimiento de un Tramo;756072;Diamante;;Inspección;Canal Vila;;;335954;H° A° Sección Tolva;500;Finalizada;-;2017;500
170304;38;Canal Vila - Hijuela N°1 ;756830;Diamante;;Inspección;Canal Vila;;;46675;H° A°  Sección Trapecial;60;Finalizada;-;2017;60
170306;40;Hijuela Pampita - Revestimiento y Construcción Comparto;755986;Diamante;;Inspección;El Cerrito Unificada;;;629047;H° A° Sección Tolva;270;Finalizada;-;2017;270
170307;41;Canal Matriz Goudge - Rama Sur - Revestimiento de un Tramo;756590;Diamante;;Inspección;Matriz Goudge;;;1590150;H° A° Sección Rectangular;650;Finalizada;-;2017;724
170308;42;Canal Rama Caida - Colocación Chapas Móviles en Compartos de tomas hijuelas 2 a 10.;756547;Diamante;;Inspección;Rama Caida Unificada;;;179900;Compuertas;-;Finalizada;-;2017;
170309;43;Canal Rama Caida Gonzalez - Hijuela N°6 - Revestimiento de un Tramo - 2° Etapa;756188;Diamante;;Inspección;Santa Maria del Vencedor;;;567851;H° A° Sección Trapecial;1000;Finalizada;-;2017;1000
170310;44;Canal Marginal Izquierdo - Reparación terraplenes;757140;Diamante;;Emergencia;Subdelegación;;;261820;Reparación y Reconstrucción;;Finalizada;-;2017;
170311;45;Canal Socavon Frugoni Marco - Callejón Piola - Reparación Hijuela;756869;Diamante;;Emergencia;Subdelegación;;;29295;Revestimiento y Reparación;50;En Ejecución;La Mano de Obra fue realizada por los  regantes y la Subdelegación  los Mat. falta unión entre el comparto y el revestimiento.;2017;50
170312;46;Recrecimiento Compuerta Desripiadora y Compuerta Canal Villa;757986;Diamante;;Gener.  Hidroeléctrica;Subdelegación;;;186661;Recrecimiento Compuerta;;Finalizada;-;2017;
170313;47;Mantenimiento Preventivo Dique Galileo Vitali;-;Diamante;;Gener.  Hidroeléctrica;Subdelegación;;;98000;;;Etapa Proyecto;Pliego en ejecucion. Obra fuera de Corta;2017;
170314;48;Instalaciones Eléctricas en Viviendas;-;Diamante;;Gener.  Hidroeléctrica;Subdelegación;;;145000;Reparaciones;;Etapa Proyecto;Pliego en ejecucion. Obra fuera de Corta.;2017;
170315;49;Puntos de Medicion Cuenca Alta;-;Diamante;;Gener.  Hidroeléctrica;Subdelegación;;;465000;;;Etapa Proyecto;Fecha Posible de ejecución: (Octubre-17) Partida que se destinara a financiar obra de emergencia Exp. 757.140  y alquiler de movilidades para obras.;2017;
170401;1;Entubamiento Hij. Chacras de Coria;753654;Mendoza; 1° zona;Inspección;Luján Oeste;1012;;1800000;Entubado;565;Finalizada;En etapa de terminaciones.;2017;565
170403;3;Entubamiento Hij. Mirasso;757533;Mendoza; 3° zona;Inspección;Chachingo-Primavera;1141;1118;900000;Entubado;1500;Finalizada;Se estan ejecutando 100 m adicionales por la disponibilidad en Obra de mas caños.;2017;1500
170404;4;Revestimiento Canal Lunlunta 2;757510;Mendoza; 3° zona;Inspección;Lunlunta;1285;;600000;H° A° Sección Rectangular;189;Finalizada;Obra ejecutada con fondos de la Inspección. ;2017;189
170405;5;Impermeabilización Hij. Esteban;No posee;Mendoza; 4° zona;Inspección;Hijuela Esteban;1264;1278;150000;Revestimiento Membrana 240mm;150;Finalizada;-;2017;
170407;7;Mantenimiento de tomas directas sobre Hij. Santa Rita;759152;Mendoza; 4° zona;Inspección;Hijuela Santa Rita;;;144279.24;Mantenimiento y  Reparación;-;Apta para Ejecución;No iniciada, se va a hacer, están los presupuestos.;2017;
170409;9;Reconstrucción comparto Ramo Nº 3 de Hij. Villanueva;758662;Mendoza; 4° zona;Inspección;Hijuela Villanueva;1011;;237569.25;Mantenimiento y  Reparación;-;Finalizada;-;2017;
170410;10;Revestimiento Canal San Alberto;748714;Mendoza; Alta Montaña;Inspección;San Alberto y Uspallata;1812;;600000;Empedrado;1000;En Ejecución;La Obra se inicio el día 03/10, se esta comenzando con las tareas previas de perfilado de taludes y clasificación de piedras.;2017;
170411;11;Canales en 2ª Zona de Riego (se agregan);No posee;Mendoza; 2° zona;Inspección;(No especificado);;;Monto a Definir;Revestimiento (?);;Etapa Proyecto;Sin datos.;2017;
170413;13;Bacheo 1º y 2º tramos Cl. San Martín;757507;Mendoza;;DGI;Subdelegación;;;1200000;Mantenimiento;-;Finalizada;-;2017;
170414;14;Mantenimiento de juntas y losas en 5º y  6º tramos Cl. San Martín;757926;Mendoza;;DGI;Subdelegación;;;1000000;Mantenimiento;-;Finalizada;Se realizaron 500m rep. de juntas / 500 rep. de fisuras / 1000m rep. grietas/ 120m3 relleno de socavones.;2017;
170415;15;Revestimiento Hij. 2º Vistalba;710148;Mendoza; 1 zona;Inspección;Luján Oeste;1011;1010;1300000;H° A° Sección Rectangular;340;Finalizada;En etapa de terminaciones (relleno lateral);2017;340
170417;65;Reparación tramo Hijuela Progreso Santa Rita;758908;Mendoza; 4° zona;Inspección;Hij. El Progreso;1275;1271;264532.36;H° A° Sección Rectangular;35;Finalizada;-;2017;
170418;66;Impermeabilización de 30m Hijuela Santa Rita y adpatación de derivaciones existentes.;758815;Mendoza; 4° zona;Inspección;Hijuela Santa Rita;1271;;249370.05;H° A° Sección Rectangular;30;En Ejecución;-;2017;
170502;17;Unificacion y Revestimiento  Hijuelas Silva- 5001;754315;Tunuyán Superior;;Inspección;Canal Manzano;;;700000;Cuneta tipo Municipal;340;En Ejecución;En proceso de ejecución Obras de cruce vial. Se encuentra con  permiso de Vialidad para realizar estas tareas.;2017;320
170503;18;Revestimiento Canal Capacho;757027;Tunuyán Superior;;Inspección;Canal El Capacho;;;250000;H° A° Sección Rectangular;100;Finalizada;Se ejecutó triple partidor.;2017;100
170504;19;Impermeabilización Canal Vista Flores;753901;Tunuyán Superior;;Inspección;Canal Vista Flores;;;1220000;H° A° Sección Tolva;1400;Finalizada;Verificando terminaciones.;2017;1400
170505;20;Descargador Hijuela Silvestri - Reparación y colocación de tomas principales.;754036;Tunuyán Superior;;Inspección;A° Claro;;;350000;Mejoramiento de Operación;-;Finalizada;-;2017;
170506;21;Revestimiento Hijuela Las Rosas;756445;Tunuyán Superior;;Inspección;A°  Guiñazu ;;;611800;H° A° Trapecial;600;Finalizada;Verificando detalles construcción en relación a tomas y enlaces en botador.;2017;600
170508;23;Cruce Calle La Costa - Hijuela Palma;754086;Tunuyán Superior;;Inspección;El Peral ;;;250000;Entubado;600;Inst. Administrativa;Expediente en la Subdelegación del TS desde el 14/07  para la firma del covenio.;2017;
