NumObra,Obra,Expediente,Subdelegacion,Modalidad,Cauce,CodigoCauce,inversion,Tipologia,Metros,Status,MetrosAvance,Ano,Superficie,Padron,Diametro,bm,Bm,Hm,CaudalDiseno
15,Revestimiento Hij. 2º Vistalba,710148,Mendoza,Inspección,Luján Oeste,1011,1300000,H° A° Sección Rectangular,340,Finalizada,340,2017,572,,-,1.1,1.1,1.1,3.7
10,Revestimiento Canal San Alberto,748714,Mendoza,Inspección,San Alberto y Uspallata,1812,600000,Empedrado,1000,En Ejecución,,2017,4000,,,1.3,2,0.6,
1,Entubamiento Hij. Chacras de Coria,753654,Mendoza,Inspección,Luján Oeste,1012,1800000,Entubado,565,Finalizada,565,2017,,,,,,,
21,Revestimiento Hijuela Las Rosas,756445,Tunuyán Superior,Inspección,A°  Guiñazu ,9700,611800,H° A° Trapecial,600,Finalizada,600,2017,350,,,0.9,2.1,0.6,0.36
7,Mantenimiento de tomas directas sobre Hij. Santa Rita,759152,Mendoza,Inspección,Hijuela Santa Rita,,144279,Mantenimiento y  Reparación,-,Apta para Ejecución,,2017,1000,120,,,,,
9,Reconstrucción comparto Ramo Nº 3 de Hij. Villanueva,758662,Mendoza,Inspección,Hijuela Villanueva,,237569,Mantenimiento y  Reparación,-,Finalizada,,2017,1700,219,-,3.13,3.13,1.7,4.6
24,Entubado Canal Matriz Este,756812,Tunuyán Superior,Inspección,Matriz Este Unificado,9710,2000000,Entubado ,1000,Apta para Ejecución,,2017,900,,0.6,,,,0.9
11,Canales en 2ª Zona de Riego (se agregan),No posee,Mendoza,Inspección,(No especificado),,Monto a Definir,Revestimiento (?),,Etapa Proyecto,,2017,,,,,,,
13,Bacheo 1º y 2º tramos Cl. San Martín,757507,Mendoza,DGI,Subdelegación,,1200000,Mantenimiento,-,Finalizada,,2017,48186,,,,,,
14,Mantenimiento de juntas y losas en 5º y  6º tramos Cl. San Martín,757926,Mendoza,DGI,Subdelegación,,1000000,Mantenimiento,-,Finalizada,,2017,48186,,,,,,
4,Revestimiento Canal Lunlunta 2,757510,Mendoza,Inspección,Canal Matriz Lunlunta,1285,600000,H° A° Sección Rectangular,189,Finalizada,189,2017,1700,350,,,,,
3,Entubamiento Hij. Mirasso,757533,Mendoza,Inspección,Naciente Chachingo-Primavera Pedregal Unificadas,1141,900000,Entubado,1500,Finalizada,1500,2017,1540,190,0.6,,-,-,0.6
66,Impermeabilización de 30m Hijuela Santa Rita y adpatación de derivaciones existentes.,758815,Mendoza,Inspección,Hijuela Santa Rita,1271,249370,H° A° Sección Rectangular,30,En Ejecución,,2017,1200,166,-,1.7,1.7,1.5,2.85
16,Unificación hijuelas Simonovich- Nueva Florida,754101,Tunuyán Superior,Inspección,Yaucha-Aguanda,5701,1822000,H° A° Sección Rectangular,1300,En Ejecución,,2017,266,55,,0.8,0.8,0.7,
17,Unificacion y Revestimiento  Hijuelas Silva- 5001,754315,Tunuyán Superior,Inspección,Canal Manzano,5001,700000,Cuneta tipo Municipal,340,En Ejecución,320,2017,,,,,,,
18,Revestimiento Canal Capacho,757027,Tunuyán Superior,Inspección,Canal El Capacho,5012,250000,H° A° Sección Rectangular,100,Finalizada,100,2017,1006,,-,2,2,0.55,0.9
19,Impermeabilización Canal Vista Flores,753901,Tunuyán Superior,Inspección,Canal Vista Flores,5006,1220000,H° A° Sección Tolva,1400,Finalizada,1400,2017,900,,1.2,,,0.6,0.9
20,Descargador Hijuela Silvestri - Reparación y colocación de tomas principales.,754036,Tunuyán Superior,Inspección,A° Claro,,350000,Mejoramiento de Operación,-,Finalizada,,2017,,,,,,,
