Codigo,CodigoCauce,CodigoCauceAdic,Obra,Cauce,Inspeccion,Subdelegacion,Tipologia,Modalidad,Financiamiento,Metros,Inversion,Ano,CaudalDiseno,Status
190506,5006,,Rev. C. Vista Flores,Vista Flores,,T. Superior,Revestimiento Canales,Adm.,X - Obras Menores Decreto 555/75,510,2542019,2019,,Finalizada
190503,9774,,Rev. C. Arroyo Guinazú,Arroyo Guiñazú,,T. Superior,Revestimiento Canales,Adm.,X - Obras Menores Decreto 555/75,850,2680630,2019,,En ejecucion
190504,9727,9727,Rev. C. Pampa o Salto - Rama Norte,Pampa o Salto - Rama Norte,Tupungato,T. Superior,Revestimiento Canales,Adm.,X - Obras Menores Decreto 555/75,518,2100000,2019,,Finalizada
190601,2130,,Rev. Tramo Rama  Henriquez,Independencia,Independencia,T. Inferior,Revestimiento Canales,Lic.,X - Obras Menores Decreto 555/75,395,3700000,2019,,Finalizada
190605,2133,,Imp. Tramo Critico Red Terciaria Séptima Zapata ,Independencia,Independencia,T. Inferior,Revestimiento Canales,Adm.,XII - Fondo Desarrollo Hidrico,2160,7560000,2019,,En ejecucion
190107,,,Rev. tramo y reubicacion toma (Inspeeccion Correa),,,Atuel,,Adm.,X -  Obras Menores Decreto 555/75,-,3799310,2019,,No se ejecuta
190120,,,C. M. Perrone - Construccion Casillas para Instalacion de Telemetria,,,Atuel,Modernizacion Sistema de Riego,Adm.,Resol. 600,Global,677210,2019,,En ejecucion
190109,,,C. Matriz Correa - Comparto Nallib-Bayona-Casas - Reconstruccion y Modern.,,,Atuel,Modernizacion Sistema de Riego,Adm.,Resol. 600,Global,225372,2019,,Finalizada
190117,,,C. Matriz Jauregui - Ramas Soitue y Claveles - Construccion de Secciones de Aforo,,,Atuel,Modernizacion Sistema de Riego,Adm.,Resol. 600,Global,500000,2019,,En ejecucion
190111,,,C. Matriz Real del Padre - Mant. de Rev. del Tramo Partidor Principal - Partidor Rama 2,,,Atuel,Modernizacion Sistema de Riego,Adm.,Resol. 600,Global,1547837,2019,,Finalizada
190101,,,Cl Marginal del Atuel- Trabajos de Reparacion y Mant. 8ro Etapa.,,,Atuel,Reparaciones en Canales,Lic.,X -  Obras Menores Decreto 555/75,Global,10495123,2019,,Finalizada
190110,,,CMNA - C. Centro Auxilar - Construccion de Compuertas para el seccionamiento,,,Atuel,Modernizacion Sistema de Riego,Adm.,Resol. 600,Global,214617,2019,,Finalizada
190114,,,CMNA - C. Centro Viejo - Reparacion de compuerta y construcion de rejas,,,Atuel,Modernizacion Sistema de Riego,Adm.,Resol. 600,Global,119880,2019,,En ejecucion
190116,,,CMNA - C. Rama La Marzolina - Construccion 12 compuertas,,,Atuel,Modernizacion Sistema de Riego,Adm.,Resol. 600,Global,300000,2019,,Finalizada
190115,,,CMNA - C. Rama Moss - Los Angeles - Refuncionalizacion Partidor Carmona,,,Atuel,Modernizacion Sistema de Riego,Adm.,Resol. 600,Global,1770215,2019,,Finalizada
190119,,,CMNA - Inspeccion Tijeras Unificadas - Reparacion de compuertas y hojas partidoras,,,Atuel,Modernizacion Sistema de Riego,Adm.,Resol. 600,Global,70000,2019,,Finalizada
190106,,,Construccion de 5 compuertas para seccionado interno,,,Atuel,Modernizacion Sistema de Riego,Adm.,X -  Obras Menores Decreto 555/75,Global,248680,2019,,Finalizada
190118,,,Inspeccion Rama Tres Unificada - Construccion de compuerta y provision de materiales,,,Atuel,Modernizacion Sistema de Riego,Adm.,Resol. 600,Global,81524,2019,,Finalizada
190105,,,Reconstruccion  y compuertas nuevas (9) y hojas moviles (2),,,Atuel,Modernizacion Sistema de Riego,Adm.,X -  Obras Menores Decreto 555/75,Global,243780,2019,,En ejecucion
190104,,,"Reconstruccion partidor Sur Vasconia/Finca Sur, reconstruccion alcatarilla y construccion de 10 casillas para telemetria. ",,,Atuel,Modernizacion Sistema de Riego,Adm.,X -  Obras Menores Decreto 555/75,Global,700000,2019,,Finalizada
190603,2192,,Imp. Hij. Sarramea,San Martín,San Martín,T. Inferior,Revestimiento Canales,Adm.,XII - Fondo Desarrollo Hidrico,519,1680000,2019,,Finalizada
190602,2312,,Imp. Rama Moyano ,Constitución,Constitución,T. Inferior,Revestimiento Canales,Lic.,X - Obras Menores Decreto 555/75,857,5190000,2019,,Finalizada
190607,2438,2432,Imp. Hij. Nro 6 - C. Nuevo Gil,Canal Nuevo Gil,,T. Inferior,Revestimiento Canales,Adm.,X - Obras Menores Decreto 555/75,700,2340000,2019,,Finalizada
190606,2530,2490,Imp. Rama Mundo Nuevo - Calle Vergara ,Mundo Nuevo,San Isidro,T. Inferior,Revestimiento Canales,Adm.,X - Obras Menores Decreto 555/75,500,2850000,2019,,Finalizada
190305,,,C. Cerrito-Modern. Sistema de Riego,,,Diamante,Modernizacion Sistema de Riego,Adm.,X -  Obras Menores Decreto 555/75,Global,1534000,2019,,Finalizada
190304,,,C. Marginal Izquierdo -Defenzas en Descargador Jensen,,,Diamante,Obras de Defenza,Lic.,X -  Obras Menores Decreto 555/75,Global,1960771,2019,,En ejecucion
190307,,,C. Matriz Rio Diamante - Reparacion compuertas tomas C.es secundarios.,,,Diamante,Reparacion Compuertas Diques y Compartos,Lic.,XIII-Generacion Hidroeléctrica,Global,1487980,2019,,Finalizada
190302,,,C. Sauce La Leona - Modern. Sistema de Riego,,,Diamante,Modernizacion Sistema de Riego,Adm.,X - Obras Menores Decreto 555/75,Global,729327,2019,,Finalizada
190306,,,Refuncionalizacion  Camara Desarenadora Dique Galileo Vitali.,,,Diamante,Reparacion Compuertas Diques y Compartos,Lic.,X -  Obras Menores Decreto 555/75,Global,7497355,2019,,Finalizada
190303,,,Reparacion y Mant. en C. matriz y camara desarenadora,,,Diamante,Reparaciones en Canales,Lic.,X - Obras Menores Decreto 555/75,Global,1195886,2019,,Finalizada
190608,2615,2080,Hij. Los Yoles,Rama Los Andes,Reducción,T. Inferior,Revestimiento Canales,Adm.,Resol. 600,1200,5400000,2019,,Finalizada
190604,2623,,Imp. C. Norte De Calle Robert a Calle Molina,Canal Norte,Canal Norte,T. Inferior,Revestimiento Canales,Adm.,XII - Fondo Desarrollo Hidrico,508,2500000,2019,,Finalizada
190203,,,"Reparacion Compuertas 3,4,5,6 y 7 Dique Blas Brisoli",,,Malargue,Reparacion Compuertas Diques y Compartos,Lic.,X -  Obras Menores Decreto 555/75,Global,3568464,2019,,Finalizada
190204,,,Seccion de Aforo La Barda,,,Malargue,Modernizacion Sistema de Riego,Adm.,X -  Obras Menores Decreto 555/75,Global,1107500,2019,,no iniciada
190409,1012,,Ent. Hij. Chacras,Hij. Chacras,Chacras de Coria,Mendoza,Entubamiento Canales,Adm.,Resol. 600,1100,2400000,2019,,Finalizada
190408,1106,,Ent. Hij. La Canada - C. Primero Vistalba,Hij. La Cañada,Compuertas,Mendoza,Entubamiento Canales,Adm.,XIII-Generacion Hidroeléctrica,700,2170000,2019,,Finalizada
190410,1116,,Ent. C. Lunlunta 2,Lunlunta,Cruz de Piedra,Mendoza,Entubamiento Canales,Adm.,Resol. 600,300,2450000,2019,,no iniciada
190401,1191,,Rev. Cl Mercery Etapa I,Canal Mercery,Céspedes,Mendoza,Revestimiento Canales,Lic.,XII -  Fondo Desarrollo Hidrico,658,4001176,2019,,Finalizada
190403,1271,1275,Rev. C. Santa Rita Progreso ,Canal Jocolí,Jocolí,Mendoza,Revestimiento Canales,Lic.,XII -  Fondo Desarrollo Hidrico,310,3140063,2019,,En ejecucion
190402,1299,,Unif. Rama Algarrobal e Hij. Capilla Manantial Scaiola,Rama Algarrobal,Algarrobal,Mendoza,Revestimiento Canales,Lic.,XII -  Fondo Desarrollo Hidrico,400,4075828,2019,,En ejecucion
190415,,,Ent. C. Barrancas,,,Mendoza,Entubamiento Canales,Adm.,XII -  Fondo Desarrollo Hidrico,-,2500000,2019,,no iniciada
190411,,,Imp. Cuarto Tramo C. San Alberto,,,Mendoza,Revestimiento Canales,Adm.,XII -  Fondo Desarrollo Hidrico,-,4800000,2019,,no iniciada
190413,,,Rev. Hij. Morales entre calle Maza y Ozamis,,,Mendoza,,-,XII -  Fondo Desarrollo Hidrico,-,2400000,2019,,No se ejecuta
190412,,,Bacheo Segundo Tramo - C. San Martin,,,Mendoza,Reparaciones en Canales,Adm.,XII -  Fondo Desarrollo Hidrico,Global,2000000,2019,,Finalizada
190405,,,Mant.  de compuertas Nro13 y 14 - Dique Cipolletti,,,Mendoza,Reparacion Compuertas Diques y Compartos,Lic.,XIII-Generacion Hidroeléctrica,Global,6577772,2019,,En ejecucion
190404,,,Mant. Compuertas - Dique Naciente,,,Mendoza,Reparacion Compuertas Diques y Compartos,Lic.,XII -  Fondo Desarrollo Hidrico,Global,2739000,2019,,Finalizada
190406,,,Mant. de compuertas Gran Comparto,,,Mendoza,,Lic.,XIII-Generacion Hidroeléctrica,Global,-,2019,,No se ejecuta
190414,,,Mant. Quinto y Sexto Tramo - C. San Martin,,,Mendoza,Reparaciones en Canales,Adm.,XIII-Generacion Hidroeléctrica,Global,2500000,2019,,Finalizada
190407,,,Modern. de compuertas Gran Comparto,,,Mendoza,Electrificacion Compartos,Lic.,XIII-Generacion Hidroeléctrica,Global,4500000,2019,,no iniciada
190202,8233,,Toma y Regulacion  Cl Las Chacras,,,Malargue,Modernizacion Sistema de Riego,Lic.,X -  Obras Menores Decreto 555/75,30,1208407,2019,,Finalizada
190201,8234,,Rev. Cl Matriz Cañada Colorada 2ro Etapa- Rio Malargue ,,,Malargue,Revestimiento Canales,Lic.,X -  Obras Menores Decreto 555/75,698,9339588,2019,,Finalizada
190310,4014,4008,Hij. 6 Cl Paredes,Las Paredes,,Diamante,Revestimiento Canales,Adm.,Resol. 600,550,3000000,2019,,En ejecucion
190308,4058,,C. Cortaderal,Canal Cortaderal,,Diamante,Revestimiento Canales,Adm.,Resol. 600,280,1513000,2019,,Finalizada
190309,4062,,C. Cubillos,Canal Cubillos,,Diamante,Reparaciones en Canales,Adm.,Resol. 600,30,345000,2019,,Finalizada
190301,4075,,C. Matriz Goudge -Rev. de un tramo,,,Diamante,Revestimiento Canales,Lic.,X - Obras Menores Decreto 555/75,1000,7717500,2019,,Finalizada
190108,1732,1731,Modern. Sistema de Riego -Hij. Nro3,Canal Algarrobito,,Atuel,Revestimiento Canales,Adm.,Resol. 600,1330,2297214,2019,,En ejecucion
190113,3010,3009,C. Matriz Regueira - Hij. nro 8 - Rev. de un tramo,,,Atuel,Revestimiento Canales,Adm.,Resol. 600,550,1476904,2019,,En ejecucion
190611,,,Rev. Rama Godoy ,,,T. Inferior,,Lic.,XII - Fondo Desarrollo Hidrico,-,,2019,,No se ejecuta
190609,,,Dique Tiburcio Benegas reparacion compuerta  Nro1,,,T. Inferior,Reparacion Compuertas Diques y Compartos,Lic.,XII - Fondo Desarrollo Hidrico,Global,2587626,2019,,Finalizada
190610,,,Reparacion de tableros e instalacion eléctrica en comparto.,,,T. Inferior,Electrificacion Compartos,Lic.,XII - Fondo Desarrollo Hidrico,Global,6000000,2019,,no iniciada
190112,3012,3011,C. Rama Norte- Suelocemento calle 10 y RN 188,Nuevo Alvear o Matriz Vidalino?,,Atuel,Revestimiento Canales,Adm.,Resol. 600,430,300000,2019,,Finalizada
190103,3060,3081,Reconstruccion Sifon y Ent. C. Pueblo,Canal Pueblo o Nuevo Alvear?,Matriz Izuel,Atuel,Entubamiento Canales,Adm.,Convenio Municipalidad,80,,2019,,Finalizada
190102,3076,3077,C. Matriz Real del Padre - Rama 3-5 - Rev. Segundo Tramo,Canal Matriz Real del Padre,,Atuel,Revestimiento Canales,Adm.,X -  Obras Menores Decreto 555/75,428,3900000,2019,,Finalizada
190502,,,Rev. C. Consulta Rama Centro,,,T. Superior,,Lic.,X - Obras Menores Decreto 555/75,-,3600000,2019,,No se ejecuta
190505,,,Rev. Hij. Varias,,,T. Superior,,-,X - Obras Menores Decreto 555/75,-,2777205,2019,,No se ejecuta
190507,,,Rev. Segundo Tramo C. Capacho,,,T. Superior,,-,X - Obras Menores Decreto 555/75,-,702851,2019,,No se ejecuta
190501,,,Dique Las Tunas Mant. y reparacion de compuertas.,,,T. Superior,Reparacion Compuertas Diques y Compartos,Lic.,X -  Obras Menores Decreto 555/75,Global,3556000,2019,,En ejecucion
