NumObra,Obra,Subdelegacion,CodigoCauce,CodigoCauceOrig,Ano,Cauce,Inversion,Rubro,Superficie,Beneficiarios,Metros,Modalidad
10,Bacheo 1º Y 2º Tramo,Mendoza,,,2020,Subdelegacion Río Mendoza,2400000,CIVIL,26000,3000,-,Lic.
32,Rev. C. Manzano,T. Superior,5001,5001,2020, Manzano,10000000,CIVIL,1600,70,1600,Lic.
30,Rev. Hij. Vargas -C. Vista Flores,T. Superior,5007,5007,2020, Vista Flores,3256136,CIVIL,200,82,1153,Adm.
31,Rev. C. Consulta Centro,T. Superior,5010,5010,2020,Consulta Centro,7834390,CIVIL,2400,300,600,Lic.
34,Rev. C. Las Rosas,T. Superior,9775,5777,2020,Arroyo Guiñazú,5000000,CIVIL,328,20,600,Lic.
29,Cruce Calle La Costa-Hij. Palma,T. Superior,9705,9705,2020, El Peral,400000,CIVIL,76,11,11,Adm.
26,Rev. Rama Godoy - Zona El Altillo,T. Inferior,2137,2137,2020,Rama Godoy,5000000,CIVIL,200,300,500,Adm. 
14,Mantenimiento 5º Y 6º Tramo Csm,Mendoza,,,2020,Subdelegacion Río Mendoza,2800000,CIVIL,22000,3000,-,Lic.
8,Mantenimiento Electromecánico Compuertas 2 Y 3 Del Gran Comparto  (Csm R Mza),Mendoza,,,2020,Subdelegacion Río Mendoza,3496955,ELEC.,26000,3000,Global,Lic.
9,"Mantenimiento Mecánico Hojas Partidoras C.es Chachingo, Naciente Y Barrancas (Csm R Mza)",Mendoza,,,2020,Subdelegacion Río Mendoza,4500000,ELEC.,26000,3000,Global,Lic.
7,Mod. Sistema De Riego C. San Martín Tomas Lunlunta 1  - 2 Y Ortega,Mendoza,,,2020,Subdelegacion Río Mendoza,1800000,CIVIL,26000,3000,Global,Lic.
25,Imp. Rama Norte A. Verde ,T. Inferior,2271,2271,2020,Rama Norte Alto Verde,7000000,CIVIL,1064,105,1059,Adm. 
23,Imp. Rama Moyano Parte Iii,T. Inferior,2312,2312,2020, Mz. Constitución,4500000,CIVIL,1331,143,730,Adm. 
22,Imp. Hij. N°6,T. Inferior,2438,2438,2020, Nuevo Gil,2300000,CIVIL,454,28,350,Adm. 
24,Imp. Y Mejoramiento Operativo C. Santa Rosa,T. Inferior,2533,2533,2020, Santa Rosa,7000000,CIVIL,2500,360,790,Adm. 
21,Ramas De La Paz - Imp. Tramo Iii,T. Inferior,2559,2559,2020,Ramas de La Paz y D.,950000,CIVIL,371,70,105,Adm. 
27,Imp. Hij. Suarez,T. Inferior,2563,2563,2020,Rama Dormida,4000000,CIVIL,178,38,705,Adm. 
16,Rev. Hij. Solanilla,Mendoza,1006,1006,2020,Rama Luján Centro,2205000,CIVIL,550,642,350,Lic.
2N,"Hij. 2ª La Reta , Cl Compuertas",Mendoza,1106,1276,2020,Compuertas,845000,CIVIL,-,-,300,Lic.
5,Rev. C. Corvalan 1º Etapa ,Mendoza,1112,1112,2020,Rama Luján Sur Unificada,9998565,CIVIL,1664,498,700,Lic.
15,Ent. Hij. Tissera,Mendoza,1131,1168,2020,Naciente Chachingo Unif.,5000000,CIVIL,360,90,500,Adm.
6,Ent. Fray Luis Beltran,Mendoza,1141,1142,2020,Naciente Chachingo Unif.,4000000,CIVIL,800,150,2000,Adm.
17,Rev. Hij. 2 - Isla Chica,Mendoza,1188,1188,2020,Céspedes Unif. ,3000000,CIVIL,95,24,1000,Adm. o Lic.
1N,Revest. Rama Sup. Hij. Centenario ,Mendoza,1265,1267,2020,Hij. Centenario,3000000,CIVIL,-,-,1000, Adm. o Lic.
11,C. Rama Gdor. Galigniana Segura,Mendoza,1287,1287,2020,Rama Galigniana Segura,900000,CIVIL,6444,190,150,Adm.
3N,Rev. Cl. La Ciénaga,Mendoza,1758,1764,2020,IC Colonia,3000000,CIVIL,200,25,600,Lic.
12,Imp. 4º Tramo Cl. San Alberto,Mendoza,1823,1823,2020,San Alberto y Uspallata,6600000,CIVIL,3557,734,1400,Adm.
4N,Ent. Aroyo Morteritos,Mendoza,1846,1846,2020,IC Las Mulas,14800000,CIVIL,2344,1850,2100,Lic.
