Rio ,Zona,UM,Inspeccion,Cauce,CodigoCauce,TierraQ0,TierraQ0rep,TierraQ0medio,TierraQl,TierraQlrep,TierraQlmedio,Distancia,KmInvert,EfcTierra,LongMedia,EfTierraLong,EfCanales,EfHijuelas,KmCanales,KmHijuela,EfTotalManejo,EfCondRevestido,EfCondPromedio,KmRevestido,KmTierra,EfUnidadManejo
Mendoza,Segunda,Lujan,Luján Centro,Canal Solanilla,1006,0.56,0.55,0.555,0.489,0.492,0.49,2.28,0.054,0.947,5.85,0.728,0.728,0.823,12.28,20.02,0.787,0.986,0.986,3.55,28.74,0.809
Mendoza,Segunda,Lujan,MoralesVillanueva,Hij. Morales,1008,0.41,0.41,0.41,0.361,0.364,0.363,4.16,0.029,0.971,6.22,0.832,0.728,0.823,12.28,20.02,0.787,0.999,0.986,3.55,28.74,0.809
Mendoza,Segunda,Lujan,MoralesVillanueva,Hij. Villanueva,1011,0.298,0.287,0.292,0.28,0.29,0.285,5.4,0.029,0.972,7.17,0.813,0.728,0.823,12.28,20.02,0.787,0.999,0.986,3.55,28.74,0.809
Mendoza,Primera,Chacras de Coria,Chacras de Coria,Hijuela Chacras,1012,0.435,0.436,0.435,0.375,0.371,0.373,1.62,0.096,0.909,6.93,0.515,,0.639,0,16.32,0.639,0.999,0.999,0,16.32,0.639
Mendoza,Primera,Chacras de Coria,Luján Oeste,Hijuela La Falda,1010,0.14,0.139,0.14,0.122,0.123,0.123,2.54,0.051,0.95,5.31,0.763,,0.639,0,16.32,0.999,0.999,0.999,0,16.32,
Mendoza,Segunda,Matriz Gil,Matriz Gil,Hij. Gil,1019,0.39,0.41,0.4,0.394,0.419,0.406,4.16,0.029,0.972,4.25,0.885,,0.927,0,17.83,0.927,0.998,0.994,1.46,16.37,0.932
Mendoza,Segunda,Matriz Gil,Matriz Gil,Hij. Delgado,1021,0.25,0.25,0.25,0.249,0.245,0.247,1.61,0.007,0.993,4.38,0.969,,0.927,0,17.83,0.927,0.991,0.994,1.46,16.37,0.932
Mendoza,Tercera,Sobremonte,Sobremonte,Rama Sobremonte,1025,0.871,0.96,0.916,0.76,0.669,0.714,1.61,0.154,0.857,3.27,0.604,0.604,0.824,6.18,6.73,0.719,0.984,0.975,9.45,3.45,0.906
Mendoza,Tercera,Sobremonte,Sobremonte,Hij. Sánchez,1036,0.255,0.249,0.252,0.27,0.266,0.268,1.34,0.029,0.972,6.73,0.824,0.604,0.824,6.18,6.73,0.719,0.966,0.975,9.45,3.45,0.906
Mendoza,Segunda,Mathus Hoyos,Mathus Hoyos,Hij. San Francisco,1058,0.57,0.57,0.57,0.519,0.506,0.513,2.65,0.04,0.961,6.35,0.775,,0.666,0,30.85,0.666,0.953,0.953,13.82,17.03,0.794
Mendoza,Segunda,Mathus Hoyos,Mathus Hoyos,Hij. Tapón Mayán,1066,0.16,0.15,0.155,0.139,0.14,0.139,1.33,0.08,0.923,7.32,0.557,,0.666,0,30.85,,0.952,0.953,13.82,17.03,0.794
