UM,Cauce,CodigoCauce,EfC,Superficie,LongitudRed,Revestida,SinRevestir,RevestPorc,,,
CANAL NORTE,Canal Norte,2623,74.14,2325.81,50291.05,389.18,49901.87,0.008,,,
Canal Norte,Hijuela Nº 3 Ramo Silva (Viene del 2913),2624,74.14,2325.81,50291.05,389.18,49901.87,0.008,,,
Canal Norte,Hijuela Nº 4 (Viene del 2914),2625,74.14,2325.81,50291.05,389.18,49901.87,0.008,,,
Canal Norte,Hijuela Nº 5 (Viene del 2915),2626,74.14,2325.81,50291.05,389.18,49901.87,0.008,,,
Canal Norte,Hijuela Nº 6 (Viene del 2916),2627,74.14,2325.81,50291.05,389.18,49901.87,0.008,,,
Canal Norte,Hijuela Nº 7,2628,74.14,2325.81,50291.05,389.18,49901.87,0.008,,,
Canal Norte,Hijuela Nº 8,2629,74.14,2325.81,50291.05,389.18,49901.87,0.008,,,
Canal Norte,Hijuela Calle Vargas,263,74.14,2325.81,50291.05,389.18,49901.87,0.008,,,
Canal Norte,Hijuela Guevara (Viene del 2911),2631,74.14,2325.81,50291.05,389.18,49901.87,0.008,,,
CHACABUCO,Canal Chacabuco,2397,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Francisco González,2398,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Corvalán,2399,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Carlos González,2400,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Arboles,2401,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela 1ª Godoy,2402,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela 2ª Godoy,2403,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Norte,2404,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Sur,2405,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Horqueta,2406,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela 1ra Cano,2407,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Cañas,2408,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Cañas Ramo Ferraris,2409,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Barbecho,2410,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Caballero,2411,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Chilecito,2412,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela 2ª Cano,2413,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Model,2414,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Tubalcaín Baca,2415,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Di Césare,2416,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Guevara,2417,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Enrique Mogas Nº 1,2418,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Enrique Mogas Nº 2,2419,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Ríos,2420,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Luquez,2421,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Perales,2422,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Los Andes,2423,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
Canal Chacabuco,Hijuela Fantino,2424,80.54,2645.48,83767.93,5120.94,78646.99,0.061,,,
CHIMBAS,Rama Chimba,2139,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Hidalgo,2141,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Merlo,2142,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Garriguez,2143,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Garriguez Ramo Nuevo Hidalgo,2144,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Garros,2145,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Martinez,2146,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Galdamez,2147,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
Rama Chimba,Hijuela Galdamez Ramo Villa Obrero,2617,88.43,4498.80,139103.28,4743.02,134360.26,0.034,,,
