UnidadesManejo,Clasificacion,CodigoCauce,Superficie,LongTotal,LongRevest,EfRevest,LongHijuelas,PorcRevest,EfTierra,EfGlobal,Caudal,CoefMoritz,PerdidaPorcentaje,TiempoMojado,PerdidaTiempo,EfUM,CaudalObrador,CaudalBalance,EfAp
Manzano,canal,5001,328.86,5.73,0.77,0.99,4.89,,0.79,0.86,0.1,0.36,0.18,0.8,0.14,0.78,,,
Manzano,hijuela,5003,2010.44,35.04,4.69,0.99,29.88,,0.79,0.78,0.62,0.36,0.28,0.8,0.22,0.78,,,
Manzano,canal,5004,328.86,5.73,0.77,0.99,4.89,,0.79,0.86,0.1,0.36,0.18,0.8,0.14,0.78,,,
Vista Flores,canal,5006,389.52,5.44,0.88,0.99,4.33,,0.78,0.88,0.12,0.4,0.15,0.8,0.12,0.77,,,
Vista Flores,hijuela,5007,4479.52,64.79,10.54,0.99,51.56,,0.78,0.77,1.38,0.4,0.29,0.8,0.23,0.77,,,
De Uco,canal,5008,169.34,4.84,0.32,0.99,4.52,,0.74,0.79,0.05,0.49,0.42,0.5,0.21,0.74,,,
PD2004 Canal de Uco,,20045008,,,,,,,,84,,,,,,56.9,,,67.31
Villanueva,hijuela,5009,237.04,8.32,0.54,0.99,7.78,,0.74,0.86,0.07,0.3,0.34,0.4,0.14,0.74,,,
Consulta,canal,5010,285.34,5.37,0.35,0.99,5.02,,0.74,0.88,0.09,0.34,0.2,0.6,0.12,0.74,,,
PD2004 La Consulta,,20045010,,,,,,,,84,,,,,,60.61,,,68.39
Consulta,hijuela,5011,3280.26,103,6.73,0.99,96.27,,0.74,0.73,1.02,0.34,0.67,0.4,0.27,0.74,,,
Canal Capacho,hijuela,5012,715.27,16.89,0.38,0.99,16.51,,0.72,0.7,0.22,0.32,0.37,0.8,0.3,0.72,,,
Canal Capacho,canal,5012,310.43,7.33,0.16,0.99,7.16,,0.72,0.77,0.1,0.32,0.29,0.8,0.23,0.72,,,
Rincon,canal,5014,47.98,1.64,4.94,0.99,1.44,,0.73,0.86,0.01,0.32,0.18,0.8,0.14,0.73,,,
Cañada Las Rosas,hijuela,5016,257.38,10,0.65,0.99,9.35,,0.74,0.78,0.08,0.35,0.44,0.5,0.22,0.74,,,
Cañada Las Rosas,canal,5016,164.65,6.28,0.41,0.99,5.87,,0.74,0.81,0.05,0.35,0.38,0.5,0.19,0.74,,,
Elvira Bustos,canal,5019,585.56,22.33,1.46,0.99,20.87,,0.74,0.82,0.18,0.3,0.29,0.6,0.18,0.74,,,
Quiroga,rama,5020,1024.15,18.41,1.2,0.99,17.21,,0.74,0.75,0.32,0.52,0.42,0.6,0.25,0.74,,,
Quiroga,hijuela,5020,462.85,8.33,0.54,0.99,7.79,,0.74,0.84,0.14,0.52,0.33,0.5,0.16,0.74,,,
Sur,hijuela,5022,612.41,27.01,1.76,0.99,25.24,,0.74,0.69,0.19,0.52,0.77,0.4,0.31,0.74,,,
Sur,canal,5022,116.48,5.1,0.33,0.99,4.77,,0.74,0.7,0.04,0.52,0.5,0.6,0.3,0.74,,,
Matriz Valle de Uco,hijuela,5023,2652.86,82.71,5.4,0.99,77.3,,0.74,0.7,0.82,0.49,0.75,0.4,0.3,0.74,,,
PD2004 Mz Valle de Uco. Margen Derecha,,20045023,,,,,,,,84,,,,,,27.33,,,18.49
Yaucha,canal,5700,337.1,9.72,1.78,0.99,7.91,,0.7,0.74,0.1,0.3,0.32,0.8,0.26,0.7,,29.56,
Yaucha,hijuela,5700,235.5,5.31,0.97,0.99,4.32,,0.7,0.78,0.07,0.32,0.27,0.8,0.22,0.7,,,
R Yaucha,hijuela,5701,1845.2,94.82,17.39,0.99,77.16,,0.7,0.48,0.57,0.3,1.04,0.5,0.52,0.7,,,
Pareditas,hijuela,5702,536.99,28.87,5.29,0.99,23.49,,0.7,0.56,0.17,0.3,0.73,0.6,0.44,0.7,,,
Pareditas,rama,5702,79.43,4.27,0.78,0.99,3.47,,0.7,0.76,0.02,0.3,0.48,0.5,0.24,0.7,,,
Aguanda,hijuela,5703,892.87,6.79,1.25,0.99,5.53,,0.7,0.87,0.28,0.32,0.14,0.9,0.13,0.7,,14.96,
Rama de Afuera,rama,5704,106.16,6.05,1.11,0.99,4.92,,0.7,0.71,0.03,0.3,0.48,0.6,0.29,0.7,,,
Rama de Afuera,hijuela,5705,518.08,26.62,4.88,0.99,21.66,,0.7,0.64,0.16,0.3,0.72,0.5,0.36,0.7,,,
Centro y Villa,hijuela,5706,918.59,25.26,4.63,0.99,20.56,,0.7,0.76,0.28,0.36,0.49,0.5,0.24,0.7,,,
Centro y Villa,rama,5706,13,0.36,0.07,0.99,0.29,,0.7,0.9,0,0.36,0.17,0.6,0.1,0.7,,,
Montenegro,hijuela,5708,143.12,7.6,1.39,0.99,6.18,,0.7,0.96,0.44,0.3,0.07,0.6,0.04,0.7,,,
Acuña,hijuela,5709,11.34,3.28,0.6,0.99,2.67,,0.7,0.66,0,0.3,0.69,0.5,0.34,0.7,,,
Acuña,r-tierra,5709,14.43,4.17,0.76,0.99,3.39,,0.7,0.69,0.01,0.3,0.62,0.5,0.31,0.7,,,
Rodriguez,hijuela,5710,164.54,2.93,0.54,0.99,2.38,,0.7,0.97,0.14,0.3,0.06,0.5,0.03,0.7,,,
Castillo,hijuela,5711,11.75,0.2,0.04,0.99,0.16,,0.7,0.95,0,0.35,0.1,0.5,0.05,0.7,,,
Canales ,hijuela,5712,12.32,0.89,0.16,0.99,0.72,,0.7,0.8,0,0.3,0.4,0.5,0.2,0.7,,,
