CodigoCauce,ramLong,ramLongTierra,ramEfc,ramSup,tieLong,tieLongTierra,tieEfc,tieSup,hijLong,hijLongTierra,hijEfc,hijSup,canLong,canLongTierra,canEfc,canSup,longitud,VolHa
5706,0.36,0.29,0.7,13,NA,NA,NA,NA,25.26,20.56,0.7,918.59,NA,NA,NA,NA,NA,NA
5773,0.13,0.11,0.7,22,NA,NA,NA,NA,32.54,26.48,0.7,1073.91,NA,NA,NA,NA,1309,11395.1
5702,4.27,3.47,0.7,79.43,NA,NA,NA,NA,28.87,23.49,0.7,536.99,NA,NA,NA,NA,NA,NA
5020,18.41,17.21,0.74,1024.15,NA,NA,NA,NA,8.33,7.79,0.74,462.85,NA,NA,NA,NA,NA,NA
5774,6.29,5.12,0.7,117.77,NA,NA,NA,NA,0.33,0.27,0.7,3.14,NA,NA,NA,NA,3085,11395.1
5704,6.05,4.92,0.7,106.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5709,NA,NA,NA,NA,4.17,3.39,0.7,14.43,3.28,2.67,0.7,11.34,NA,NA,NA,NA,NA,NA
5720,NA,NA,NA,NA,NA,NA,NA,NA,16.76,13.64,0.7,82.28,NA,NA,NA,NA,NA,NA
5703,NA,NA,NA,NA,NA,NA,NA,NA,6.79,5.53,0.7,892.87,NA,NA,NA,NA,NA,NA
9737,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.25,0.97,27.1,NA,NA,NA,NA,NA,NA
5713,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.06,0.7,30.01,NA,NA,NA,NA,NA,NA
5750,NA,NA,NA,NA,NA,NA,NA,NA,1.47,0.54,0.88,31.2,NA,NA,NA,NA,NA,NA
5739,NA,NA,NA,NA,NA,NA,NA,NA,41.68,35.53,0.79,1302.32,NA,NA,NA,NA,NA,NA
9774,NA,NA,NA,NA,NA,NA,NA,NA,21.07,18.79,0.8,569,NA,NA,NA,NA,440,7810
9727,NA,NA,NA,NA,NA,NA,NA,NA,8.71,5.66,0.94,798.58,1.41,0.92,0.94,129.28,2063,10202
5772,NA,NA,NA,NA,NA,NA,NA,NA,37.88,34.2,0.8,1270.49,5.21,4.7,0.8,178.84,8788,11344
9738,NA,NA,NA,NA,NA,NA,NA,NA,1.87,1.55,0.97,32.07,NA,NA,NA,NA,NA,NA
9711,NA,NA,NA,NA,NA,NA,NA,NA,3.63,3.01,0.97,32.04,NA,NA,NA,NA,NA,NA
9760,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.37,0.92,41.82,NA,NA,NA,NA,NA,NA
5016,NA,NA,NA,NA,NA,NA,NA,NA,10,9.35,0.74,257.38,6.28,5.87,0.74,164.65,NA,NA
5012,NA,NA,NA,NA,NA,NA,NA,NA,16.89,16.51,0.72,715.27,7.33,7.16,0.72,310.43,100,9275.93
5712,NA,NA,NA,NA,NA,NA,NA,NA,0.89,0.72,0.7,12.32,NA,NA,NA,NA,NA,NA
5711,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.16,0.7,11.75,NA,NA,NA,NA,NA,NA
9750,NA,NA,NA,NA,NA,NA,NA,NA,3.6,2.59,0.92,20.92,NA,NA,NA,NA,NA,NA
5011,NA,NA,NA,NA,NA,NA,NA,NA,103,96.27,0.74,3280.26,NA,NA,NA,NA,NA,NA
9751,NA,NA,NA,NA,NA,NA,NA,NA,8.32,5.99,0.92,207.82,NA,NA,NA,NA,NA,NA
9746,NA,NA,NA,NA,NA,NA,NA,NA,3.87,3.21,0.97,77.45,NA,NA,NA,NA,NA,NA
9747,NA,NA,NA,NA,NA,NA,NA,NA,3.28,2.36,0.92,38.48,NA,NA,NA,NA,NA,NA
9776,NA,NA,NA,NA,NA,NA,NA,NA,21.07,18.79,0.8,569,NA,NA,NA,NA,600,7810
9777,NA,NA,NA,NA,NA,NA,NA,NA,21.07,18.79,0.8,569,NA,NA,NA,NA,850,7810
5719,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.57,0.7,44.8,NA,NA,NA,NA,NA,NA
5714,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.65,0.7,52.24,NA,NA,NA,NA,NA,NA
9745,NA,NA,NA,NA,NA,NA,NA,NA,6.7,5.56,0.97,156.95,NA,NA,NA,NA,NA,NA
5717,NA,NA,NA,NA,NA,NA,NA,NA,0.38,0.31,0.7,22.1,NA,NA,NA,NA,NA,NA
9731,NA,NA,NA,NA,NA,NA,NA,NA,6.04,0.79,0.92,216.22,NA,NA,NA,NA,NA,NA
9768,NA,NA,NA,NA,NA,NA,NA,NA,21.88,20.97,0.91,2080.9,NA,NA,NA,NA,NA,NA
9753,NA,NA,NA,NA,NA,NA,NA,NA,3.24,2.33,0.92,5.82,NA,NA,NA,NA,NA,NA
