CodigoCauce,Ano,Obra,Modalidad,metros,InvUsd,InvMtUsd,hectareas,clasif,ramLong,ramLongTierra,ramEfc,ramSup,hijLong,hijLongTierra,hijEfc,hijSup,canLong,canLongTierra,canEfc,canSup,longitud,haObrador,VolHa,kmTotal,EfPost,efAnte,superficie,longTierra,ahorroAgua1,ahorroAgua2,ahorroAgua3,ahorroAgua4,vAhorro1,vAhorro2,vAhorro3,vAhorro4
9710,2000,Ent. Ancón 1º Et.,Lic.,1800,280000,155.6,621.2951,Canal,NA,NA,NA,NA,NA,NA,NA,NA,2.18,1.81,0.97,1127.46,1100,621.295,17487,0,1,0.97,1127.46,1.81,19018756.471226517,19018756.471226517,19018756.471226517,10480425.206806742,0.015,0.015,0.015,0.027
9710,2000,Ent. Ancón 2º Et.,Lic.,1100,234400,213.1,621.2951,Canal,NA,NA,NA,NA,NA,NA,NA,NA,2.18,1.81,0.97,1127.46,1100,621.295,17487,0,1,0.97,1127.46,1.81,11622573.399082873,11622573.399082873,11622573.399082873,6404704.293048565,0.02,0.02,0.02,0.037
9727,2000,Pampa-Ent. de un T.,Lic.,2063,166909,80.9,927.28,otro,NA,NA,NA,NA,8.71,5.66,0.94,798.58,1.41,0.92,0.94,129.28,2063,927.3,10202,15.905479,1,0.94,927.28,18.79,976329.728587717,976329.7285877168,19940473.478438262,976329.728587717,0.171,0.171,0.008,0.171
5008,2000,C. Uco de un T.,Lic.,1955,150000,76.7,621.2951,Canal,NA,NA,NA,NA,NA,NA,NA,NA,4.84,4.52,0.74,169.34,1955,621.295,9275.93,6.01895,0.98,0.74,169.34,4.52,492700.6558652278,492700.65586522786,492700.6558652278,1807679.8349820026,0.304,0.304,0.304,0.083
5022,2000,Imp. Consulta R. Sur T. Inferior,Lic.,2391.5,226458,94.7,725.61,Canal,NA,NA,NA,NA,27.01,25.24,0.74,612.41,5.1,4.77,0.74,116.48,2391.5,725.61,9275.93,0.823384,0.98,0.74,725.61,4.77,392842.64472718607,2447205.9704712695,2447205.9704712695,2447205.9704712695,0.576,0.093,0.093,0.093
5022,2000,C. Consulta Sur T. Superior,Lic.,3600,382524,106.3,725.61,Canal,NA,NA,NA,NA,27.01,25.24,0.74,612.41,5.1,4.77,0.74,116.48,2391.5,725.61,9275.93,0.823384,0.98,0.74,725.61,4.77,591358.361287004,3683855.945513933,3683855.945513933,3683855.945513933,0.647,0.104,0.104,0.104
9713,2001,Ent. Ancón 3º Et.,Lic.,1191,191000,160.4,621.2951,Canal,NA,NA,NA,NA,NA,NA,NA,NA,33.9,20.83,0.78,928.5,1191,621.295,17487,NA,1,0.78,928.5,20.83,724126.2852573213,724126.2852573213,724126.2852573213,484540.778472349,0.264,0.264,0.264,0.394
5022,2003,C. Consulta Sur T. Intermedio,Lic.,1733,202914.38596491228,117.1,725.61,Canal,NA,NA,NA,NA,27.01,25.24,0.74,612.41,5.1,4.77,0.74,116.48,2391.5,725.61,9275.93,0.823384,0.98,0.74,725.61,4.77,284673.34447510494,1773367.320437679,1773367.3204376793,1773367.3204376793,0.713,0.114,0.114,0.114
5001,2004,C. Manzano de un T.,Lic.,3400,426528.3783783784,125.4,2269.18372,Canal,NA,NA,NA,NA,NA,NA,NA,NA,5.73,4.89,0.79,328.86,3400,2269.18,9275.93,4.806753,0.98,0.79,328.86,4.89,1642070.2767707044,1642070.2767707044,1642070.2767707044,11330533.172608335,0.26,0.26,0.26,0.038
5773,2004,Unificación Yaucha Aguanda C. Dumas,Lic.,1309,123236.4864864865,94.1,1051.63,Hijuela,0.13,0.11,0.7,22,32.54,26.48,0.7,1073.91,NA,NA,NA,NA,1309,1051.63,11395.1,20.643662,0.98,0.7,1073.91,26.48,414984.4359180564,414984.4359180564,414984.4359180564,406374.9125573891,0.297,0.297,0.297,0.303
