CodigoCauce,InvUsd,InvMtUsd,metros,Ano,Modalidad,Obra,hectareas,UM,Cauce,EfC,haBalance2015,LongitudRed,Revestida,SinRevestir,hasLuqui,caudalLuqui,volHaLuqui,RevestPorc,EfPost,EfAnte,ahorroAgua1,ahorroAgua2,ahorroAgua3,vAhorro1,vAhorro2,vAhorro3,Qwebav,Qwebyear,Q0,PerdidaxKm,DeltaPerdida,valuePerd,valuePerdBis
2271,244000,108.1,2257,1998,,Rev. R. Norte Alto Verde Et.I,5476,NA,NA,84.97,5476.66,136763.78,12180.16,124583.62,4225.7,3356.59,11603,0.089,0.995,0.8497,750979.8180054465,973179.705941696,973296.9993321126,0.42900000000000005,0.33132,0.33132,2.486,37.289,37.289,0.232,2160716,0.11,0.15
2533,103509,254.3,407,1998,,Imp. R. Santa Rosa,3653,NA,NA,79.26,3653.19,95494.24,11554.58,83939.66,2346.34,2658.97,11456,0.121,0.98,0.7926000000000001,101235.14204653693,157612.27012964847,157620.4678661184,1.34904,0.8672400000000001,0.8672400000000001,2.386,26.25,26.25,0.218,360605,0.29,0.38
2140,269184,345.1,780,1998,,Rev. R. Chimbas,4900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2241,244000,488,500,1998,Lic.,C. Alto Verde R. Sur,3639,NA,NA,83.46,3638.72,101852.83,8116.53,93736.3,2738.59,1800.16,10056,0.08,0.98,0.8345999999999999,120148.661290793,159651.85677198693,159639.57248512344,2.031,1.528,1.528,NA,NA,NA,NA,NA,NA,NA
2329,656822,331.7,1980,1998,,C. Viejo Retamo T. Urbano,11290,NA,NA,78.94,11290.45,341010.48,25180.69,315829.79,8809.71,6055.71,12294,0.074,0.98,0.7894,525279.0956722813,673166.4254714465,673193.2567284405,1.6500000000000001,1.2883200000000001,1.2883200000000001,NA,NA,NA,NA,NA,NA,NA
2140,158500,250.8,632,1999,,Imp. R. Chimbas-T. IIII,4900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2241,228398,253.8,900,1999,,Imp. R. Sur Alto Verde-T. III,3639,NA,NA,83.46,3638.72,101852.83,8116.53,93736.3,2738.59,1800.16,10056,0.08,0.98,0.8345999999999999,216267.5903234274,287373.3421895765,287351.2304732222,1.39392,1.0494,1.0494,NA,NA,NA,NA,NA,NA,NA
2393,312062,267.9,1165,1999,,C. Chacabuco-Arboles,2645,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,0.98,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2396,185224,185.2,1000,1999,Lic.,Imp. Cl. Cobos-T. 1,NA,NA,NA,NA,NA,NA,NA,NA,7533.85,5348.89,12759,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2271,206752,159,1300,2000,Lic.,Imp. R. Norte Alto Verde V T.,1064,NA,NA,84.97,5476.66,136763.78,12180.16,124583.62,4225.7,3356.59,11603,0.089,0.98,0.8497,426032.81722700293,107271.91176125401,552153.9363405915,0.485,1.927,0.374,2.486,37.289,37.289,0.232,1225780,0.17,0.17
