Inspeccion,CodigoCauce,Cauce,inversion,metros,InvUsd,InvMtUsd,Ano,Modalidad,Obra,CaudalDiseno,Tipologia,Zona,UM,Distancia,EfcTierra,EfTierraLong,EfCanales,EfHijuelas,KmCanales,KmHijuela,EfCondPromedio,KmRevestido,KmTierra,EfUnidadManejo,ha,VolHa,Q0,Qwebav,Qwebyear,NodoDistribucion,Hectareas,Padrones,Entero,SUP_HA,EfPost,EfAnte,PerdidaxKm,DeltaPerdida,ahorroAgua,ahorroAgua1,ahorroAgua2,ACaudalUm,ACaudalAnualUm,valuePerd,valueEf,valueAho,valueAho1,valuePerdBis,valueEfBis,valueAhorro,valueAhorro1,valueAho2,valueAhorro2
Jocolí,1278,Hijuela Esteban,150000,150,8823.5,58.8,2017,Insp.,Imp. Hij. Esteban,NA,NA,Cuarta,Jocolí,1.3,0.862,0.532,NA,0.727,0,40.47,0.998,0.71,39.76,0.732,NA,10196.3,0.13,0.372,10.41,Esteban,1257.1,137,1335,3263.8,0.99,0.727,0.002,1232,109104.2825,94876.8918,42023.0999,0.001,622,7.162,14.186,0.081,0.093,9.45,18.73,0.11,0.12,0.21,0.28
Jocolí,1271,Hij. Progreso,264532,35,15560.7,444.6,2017,Insp.,Hij. Progreso Santa Rita Rep. tramo ,4.25,NA,Cuarta,Jocolí,2.57,0.972,0.89,NA,0.727,0,40.47,0.998,0.71,39.76,0.732,NA,10145.7,0.801,1.378,12.401,Jocolí,1073.8,80,1104,3263.8,0.99,0.727,0.018,2587,42377.6011,4809.6245,13942.358,0.018,2613,6.015,5.955,0.367,3.235,7.94,7.86,0.48,4.27,1.116,1.47
Lunlunta,1116,Canal Matriz Lunlunta,600000,189,35294.1,186.7,2017,Insp.,Rev. C. Lunlunta 2,NA,NA,Tercera,Cruz de Piedra,1.3,0.931,0.891,0.888,0.8,13.45,34.01,0.987,9.33,38.13,0.857,NA,8027.3,0.22,0.266,5.312,Lunlunta 2,967.8,432,1256,1672.6,0.995,0.888,0.005,3900,97351.2011,11420.2042,56329.3629,0.002,1568,9.05,22.509,0.363,3.09,11.95,29.71,0.48,4.08,0.627,0.83
Jocolí,1271,Hijuela Santa Rita,249370,30,14668.8,489,2017,Insp.,Hij. Santa Rita Imp. 30m y adaptaciones,2.85,NA,Cuarta,Jocolí,2.57,0.972,0.89,NA,0.727,0,40.47,0.998,0.71,39.76,0.732,NA,10145.7,0.801,1.378,12.401,Jocolí,1073.8,80,1104,3263.8,0.99,0.727,0.018,2217,36323.6581,4122.5352,11950.5926,0.018,2239,6.617,6.551,0.404,3.558,8.73,8.65,0.53,4.7,1.227,1.62
Luján Oeste,1010,Luján Oeste,1300000,340,76470.6,224.9,2017,Insp.,Rev. Hij. 2º Vistalba,3.7,NA,Primera,Chacras de Coria,2.54,0.95,0.763,NA,0.639,0,16.32,0.999,0,16.32,NA,NA,7899.5,0.14,0.43,24.102,2° Vistalba,1068.5,2044,2824,851,0.995,0.639,0.007,9821,175436.312,53611.7341,220274.6173,0.003,4230,7.786,18.078,0.436,1.426,10.28,23.86,0.58,1.88,0.347,0.46
Chacras de Coria,1012,Luján Oeste,1800000,565,105882.4,187.4,2017,Insp.,Ent. Hij. Chacras de Coria,NA,NA,Primera,Chacras de Coria,1.62,0.909,0.515,NA,0.639,0,16.32,0.999,0,16.32,0.639,NA,7899.5,0.435,1.501,19.51,Chacras de Coria,1192.3,4200,4786,1002.2,1,0.639,0.014,32804,232902.1343,219335.0197,277079.6396,0.01,23432,3.228,4.519,0.455,0.483,4.26,5.97,0.6,0.64,0.382,0.5
NA,1714,Nac. Chachingo-Primavera Unif.,900000,1500,52941.2,35.3,2017,Insp.,Ent. Hij. Mirasso,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177,4.969,Hijuela Sanchez,710.5,192,927,11320.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1812,San Alberto y Uspallata,600000,1000,35294.1,35.3,2017,Insp.,Rev. C. San Alberto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arroyo Uspallata,1700.7,618,2113,11320.4,0.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naciente Chachingo,1142,Canal San Martín,1072251,1000,39097.6,39.1,2018,Adm.,Sobresolera 3° Tramo C. San Martín,NA,,Tercera,Cruz de Piedra,0.98,0.896,0.626,0.888,0.8,13.45,34.01,0.987,9.33,38.13,0.857,NA,7439.7,0.202,1.761,52.816,Chachingo,4240.2,2510,6018,9389.4,0.99,0.888,0.003,12317,1873354.3409,1100301.7073,845996.2379,0.002,8294,3.174,4.714,0.021,0.036,4.19,6.22,0.03,0.05,0.046,0.06
Lunlunta,1116,Mat. Lunlunta,400000,330,14585.2,44.2,2018,Adm.,Rev. 200M C. Matriz Lunlunta,NA,,Tercera,Cruz de Piedra,1.3,0.931,0.891,0.888,0.8,13.45,34.01,0.987,9.33,38.13,0.857,NA,8027.3,0.22,0.266,5.312,Lunlunta 2,967.8,432,1256,1672.6,0.995,0.888,0.005,6809,169978.2877,19940.0391,98352.8559,0.002,2737,2.142,5.329,0.086,0.731,2.83,7.03,0.11,0.96,0.148,0.2
