CodigoCauce,NodoDistribucion,Hectareas,Padrones,Entero,VolHa21
1006,Solanilla,538.79,897.00,1296.00,8094.00
1008,Morales - Villanueva,575.50,947.00,1364.00,7103.00
1010,2° Vistalba,1068.50,2044.00,2824.00,6564.00
1011,Morales - Villanueva,803.30,811.00,1469.00,7103.00
1012,Chacras de Coria,716.89,2355.00,2724.00,7103.00
1012,Imp. Hij. Chacras de Coria,900.00,,,7103.00
1025,Sobremonte,1580.00,,,6715.00
1038,Jarillal,477.11,42.00,498.00,13757.00
1104,Ent. Hij.  2º La Reta Las Compuertas,3295.70,,,5868.00
1106,1ro Vistalba,3295.70,1592.00,4561.00,6379.00
1114,Lunlunta 1,1059.20,528.00,1470.00,7356.00
1116,Lunlunta 2,967.80,432.00,1256.00,8102.00
1118,C. Naciente Chachingo Hij. Mina de Oro ent.,350.00,,,8564.00
1118,Can. Galigniana Segura,350.00,,,8610.00
1141,Naciente,471.80,140.00,554.00,8999.00
1142,Chachingo,4240.20,2510.00,6018.00,8564.00
1188,Céspedes,355.71,130.00,431.00,8784.00
1191,Céspedes,367.80,227.00,501.00,8784.00
1226,Galigniana Segura,533.10,54.00,557.00,8610.00
1230,Natalio Estrella,1397.47,61.00,1430.00,9616.00
1257,Ortega,285.80,75.00,319.00,8517.00
1264,Jocoli,88.00,4.00,89.00,7943.00
1265,Jocoli,285.80,75.00,319.00,7943.00
1271,Santa Rita,1073.80,80.00,1104.00,
1275,Jocoli,1898.60,152.00,1981.00,7943.00
1278,Esteban,1257.10,137.00,1335.00,7247.00
1284,Canal San Martín,48186.00,2.00,357.00,
1285,C. Céspedes Unif. R. Isla Grande,48000.00,,,8784.00
1285,Lunlunta 1,230.00,2.00,230.00,7356.00
1285,Sobresolera 3er Tramo Canal San Martín,48000.00,,,
1299,Algarrobal,2894.40,1102.00,3619.00,6806.00
1300,Algarrobal,2894.40,1102.00,3619.00,6806.00
1714,Hijuela Sanchez,710.50,192.00,927.00,
1762,Chachingo,285.80,75.00,319.00,8564.00
1764,Tulumaya,285.80,75.00,319.00,7435.00
1812,Arroyo Uspallata,1700.70,618.00,2113.00,
1823,Imp. Can. San Alberto,551.80,,,
1846,Arroyo Las Mulas ,551.80,10.00,560.00,
