CodigoCauce,subdel,Tierra,Hormigon,Entubado,PVC,Chapa,Sin dato
0051,Rio Atuel,439.851,0,0,0,0,0
0055,Rio Atuel,0,0,0,0,0,994.331
1028,Rio Mendoza,23068.069,11972.151,0,0,0,0
1029,Rio Mendoza,12273.947,6138.991,0,0,0,0
1032,Rio Mendoza,6149.045999999999,3149.133,0,0,0,0
1033,Rio Mendoza,6383.682,469.71999999999997,0,0,0,0
1034,Rio Mendoza,16825.124,11324.011,0,0,0,0
1035,Rio Mendoza,19.559,9934.696,0,0,0,0
1036,Rio Mendoza,26566.122,1269.694,11.829,0,0,0
1061,Rio Mendoza,21068.393,12531.875,0,0,0,0
1066,Rio Mendoza,23777.68,4295.858,0,0,0,0
1067,Rio Mendoza,5838.716,2726.696,100.024,0,0,0
1091,Rio Mendoza,33037.436,9407.708,0,0,0,0
1114,Rio Mendoza,3946.786,0,0,0,0,0
1116,Rio Mendoza,1308.968,0,0,0,0,0
1117,Rio Mendoza,0,0,25.477,0,0,0
1119,Rio Mendoza,69.543,44.370000000000005,0,0,0,0
1121,Rio Mendoza,0,0,0,0,0,0
1122,Rio Mendoza,0,0,0,0,0,0
1123,Rio Mendoza,200.123,0,0,0,0,0
1124,Rio Mendoza,1023.802,0,0,0,0,0
1125,Rio Mendoza,1595.4769999999999,0,0,0,0,0
1126,Rio Mendoza,1640.081,0,0,0,0,0
1127,Rio Mendoza,0,0,0,0,0,0
1128,Rio Mendoza,152.646,0,0,0,0,0
1129,Rio Mendoza,1223.437,0,0,0,0,0
1130,Rio Mendoza,0,0,0,0,0,0
1131,Rio Mendoza,3710.753,19.257,0,0,0,0
1132,Rio Mendoza,8982.537,141.138,0,0,0,0
1133,Rio Mendoza,12943.628,216.509,0,0,0,0
1134,Rio Mendoza,0,0,0,0,0,0
1135,Rio Mendoza,0,0,0,0,0,0
1136,Rio Mendoza,0,0,0,0,0,0
1137,Rio Mendoza,0,0,0,0,0,0
1138,Rio Mendoza,471.482,0,0,0,0,0
1139,Rio Mendoza,423.49,0,0,0,0,0
1141,Rio Mendoza,0,0,0,0,0,0
1143,Rio Mendoza,0,0,0,0,0,0
1145,Rio Mendoza,0,0,0,0,0,0
1146,Rio Mendoza,978.7900000000001,0,0,0,0,0
1147,Rio Mendoza,2358.435,0,0,0,0,0
1148,Rio Mendoza,2349.449,0,0,0,0,0
1149,Rio Mendoza,1124.177,0,0,0,0,0
1151,Rio Mendoza,1629.286,0,0,0,0,0
1157,Rio Mendoza,566.418,0,0,0,0,0
1164,Rio Mendoza,1652.973,0,0,0,0,0
1167,Rio Mendoza,0,0,0,0,0,0
1168,Rio Mendoza,0,0,0,0,0,0
1171,Rio Mendoza,66.132,0,0,0,0,0
1173,Rio Mendoza,0,0,0,0,0,0
1177,Rio Mendoza,0,0,0,0,0,0
1178,Rio Mendoza,47020.177,227.34,0,0,0,0
1179,Rio Mendoza,377.694,0,0,0,0,0
1180,Rio Mendoza,2056.511,0,0,0,0,0
1181,Rio Mendoza,536.226,0,0,0,0,0
1182,Rio Mendoza,18653.541,94.012,0,0,0,0
1183,Rio Mendoza,4491.755,31.684,0,0,0,0
